song_id,song_name,song_author,song_file,bpm,Easy,Normal,Hard,Expert,ExpertPlus
horthymikloskatonajavagyok,Horthy Miklos Katonaja Vagyok,Karpatia,song.ogg,150,,,,ExpertStandard.dat,ExpertPlusStandard.dat
howwillirestinpeaceifimburiedbyahighway,how will i rest in peace if i'm buried by a highway?//,KennyHoopla,song.ogg,159.7729949951172,,,,ExpertStandard.dat,
hypahypa,Hypa Hypa,Saltatio Mortis vs Eskimo Callboy,song.ogg,152,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
hypnodancer,Hypnodancer,Little Big,hypnodancer.ogg,142,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
iamtruth,I Am Truth,The Gentle Men,song.ogg,91.0,Easy.dat,,,,
idejeelni,Ideje Elni,the Grenma,song.ogg,155,,,,,ExpertPlusStandard.dat
idigress,IDigress,BigWreck,song.ogg,134,,,,ExpertStandard.dat,
idontwannabeme,I Don't Wanna Be Me,Type O Negative,song.ogg,100.5469970703125,,,HardStandard.dat,ExpertStandard.dat,
ifyouwantpeaceprepareforwar,If You Want Peace... Prepare For War,Children of Bodom,peace.ogg,170,,,,,ExpertPlusStandard.dat
ignorance,Ignorance,Paramore,ignorance.ogg,171,,,,ExpertStandard.dat,ExpertPlusStandard.dat
illmakeamanoutofyoumetalcover,I ll make a man out of you - metal cover ,Dan vasc,song.ogg,113,Easy.dat,,,,
imposter,Imposter,Kmac2021,song.ogg,114.0,Easy.dat,,,,
imscum,I'm Scum,IDLES,song.ogg,115.77799987792969,,,HardStandard.dat,ExpertStandard.dat,
incenseandiron,Incense and Iron,Powerwolf,song.ogg,126.0,Easy.dat,,,,
inismona,Inis Mona,Eluveitie,inis.ogg,107,,,,ExpertStandard.dat,
inmysworditrust,In My Sword I Trust,Ensiferum,sword.ogg,140,,,,,ExpertPlusStandard.dat
innominedeinostri,In Nomine Dei Nostri,Rotting Christ,song.ogg,174,EasyStandard.dat,,,,
insidethefire,Inside the Fire,Disturbed,song.ogg,94.0,Easy.dat,,,,
inspectorgadgetmetalcover,Inspector Gadget (metal cover),Leo Moracchioli,song.ogg,105.0,Easy.dat,,,,
inthenameofgoddeusvult,In The Name Of God (Deus Vult),Powerwolf,song.ogg,146.0,Easy.dat,,,,
intothemouthofhellwemarch,Into The Mouth Of Hell We March,Trivium,song.ogg,142,,,HardStandard.dat,ExpertStandard.dat,
introductions,Introductions,Go Ichinose,song.ogg,123.5,Easy.dat,,,,
inyourface,In Your Face,Children Of Bodom,song.ogg,115,,,,,
iron,Iron,Woodkid,song.ogg,130.0,Easy.dat,,,,
itscoming,Its Coming,The Noxious Den,song.ogg,190.0,Easy.dat,,,,
itson,It's On!,Korn,song.ogg,182.0,Easy.dat,,,,
jekyllandhyde,Jekyll and Hyde,Five Finger Death Punch,song.ogg,155.002,Easy.dat,,,,
jennyofoldstones,Jenny of Oldstones,The Dark Side of the Moon,song.ogg,80.0,Easy.dat,Normal.dat,,,
jesuisunebaguette,Je suis une Baguette,Riadh x Luther (ft. tomo),baguette.ogg,128,,,,ExpertStandard.dat,ExpertPlusStandard.dat
jinglehell,Jingle Hell,Christopher Lee,song.ogg,110.0,Easy.dat,,,,
jurahevinkuninkaat,Jurahevin Kuninkaat,Hevisaurus,JurahevinKuninkaat.ogg,179.98800659179688,,,HardStandard.dat,,
justice,Justice,Remzcore,justice.ogg,200,,,,ExpertStandard.dat,ExpertPlusStandard.dat
kammthaar,Kammthaar,Ultra Vomit,kammthaar.ogg,134,,,,ExpertStandard.dat,ExpertPlusStandard.dat
karmanations,KARMANATIONS,Akatsuki Records,KARMANATIONS.ogg,192,,,,ExpertStandard.dat,ExpertPlusStandard.dat
keelhauled,Keelhauled,Alestorm,song.ogg,220,,,HardStandard.dat,,
kidnapthesandyclaws,Kidnap The Sandy Claws,Korn,Kidnap The Sandy Claws.ogg,130.0,Easy.dat,Normal.dat,Hard.dat,,
killinginthename,Killing in the name ,Rage Against The Machine,song.ogg,120.0,Easy.dat,,,,
kiminosei,Kimi No Sei,The Peggies,song.ogg,174,,,,Expert.dat,ExpertPlus.dat
kingslayerftbabymetal,Kingslayer ft. BABYMETAL,Bring Me the Horizon,kingslayer.ogg,185,,,,ExpertStandard.dat,ExpertPlusStandard.dat
kokosoko,Koko Soko,Smile.dk,song.ogg,152,,,,,ExpertPlusStandard.dat
kreuzfeuer,Kreuzfeuer,Powerwolf,song.ogg,86.0,Easy.dat,,,,
kuuluilauluenkelten,Kuului Laulu Enkelten,Antti Railio,kuului_laulu_enkelten.ogg,115,Easy.dat,,,,
labicheetlecharognard,La biche et le charognard,Tagada Jones,song.ogg,190.0,Easy.dat,,,,
laidtorest,Laid To Rest,Lamb of God,song.ogg,120.0,Easy.dat,,,,
lechapiteaudessupplices,Le chapiteau des supplices ,MAGOYOND,song.ogg,190.0,Easy.dat,,,,
lepuddingalarsenic,Le pudding a l'arsenic,Magoyond,song.ogg,110.0,Easy.dat,,,,
lesmoutons,Les Moutons,Matmatah,moutons.ogg,164.97999572753906,,,,ExpertStandard.dat,ExpertPlusStandard.dat
liebeszauber,Liebeszauber,Subway to Sally,Liebeszauber.ogg,176.29400634765625,,,,ExpertStandard.dat,
lifestylesoftherichfamous,Lifestyles of the Rich & Famous,Good Charlotte,song.ogg,106.24800109863281,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
liftmeup,Lift Me Up,Five Finger Death Punch,LiftMeUp.ogg,75.0,,,,,
links,Links 2 3 4,Rammstein,Links_2_3_4.ogg,130.1060028076172,,,,ExpertStandard.dat,
littlesister,Little Sister,Queens Of The Stone Age,song.ogg,157,,NormalStandard.dat,,ExpertStandard.dat,
livingroombop,Living Room Bop,The Gooch Palms,song.ogg,171,,,HardStandard.dat,,
lofitimes,Lo-Fi Times,Doctrine Doctrine,LoFiTimes.ogg,135,,,,,ExpertPlusStandard.dat
lonedigger,Lone Digger,Caravan Palace,lonedigger.ogg,124,,,,,ExpertPlusStandard.dat
longlivedead,Long Live Dead,Unholy Night,song.ogg,114.98,Easy.dat,Normal.dat,,,
longlivedeath,Long Live Death,Unholy Night,song.ogg,114.98,Easy.dat,Normal.dat,,,
lordsofpowermet,Lords of Powermet,Feuerschwanz,song.ogg,190.0,Easy.dat,Normal.dat,,,
lostchapter,Lost Chapter,Pentakill,song.ogg,270.0,Easy.dat,,,,
lostinechoes,Lost In Echoes,Caskets,song.ogg,150.085,Easy.dat,,,,
louder,Louder,XS Project,song.ogg,150.0,Easy.dat,,,,
lovemeforever,Love Me Forever,Motorhead,song.ogg,128.0,Easy.dat,,,,
lovethesubhumanself,Love the Subhuman Self,"Daisuke Ishiwatari, AISHA, Jamison Boaz",song.ogg,138.0,Easy.dat,Normal.dat,,,
madeoutofnothingallthatiam,Made Out of Nothing (All That I Am),Coheed and Cambria,song.ogg,146.0,Easy.dat,,,,
mahouhatsudou,Mahou Hatsudou,Yasuharu Takanashi,mahouhatsudou.ogg,130,,,,ExpertStandard.dat,ExpertPlusStandard.dat
majestic,Majestic,Wax Fang,song.ogg,155.0,Easy.dat,,,,
maniak,Maniak,Dagoba,maniak.ogg,117,,,,ExpertStandard.dat,ExpertPlusStandard.dat
manwithaplan,Man With a Plan,KORPIKLAANI,song.ogg,160.0,Easy.dat,,,,
marblemachine,Marble Machine,Wintergatan,song.ogg,159,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
marsthebringerofwar,"Mars, the Bringer of War",Gustav Holst,Mars.ogg,100,EasyStandard.dat,,,,
massiveaddictive,MASSIVE ADDICTIVE,Amaranthe,song.ogg,170.0,Easy.dat,,,,
masterofconfusion,Master of Confusion,Gamma Ray,song.ogg,98.0,Easy.dat,,,,
megalovania,MEGALOVANIA,Toby Fox,song.ogg,120.0,Easy.dat,,,,
megitsune,Megitsune,BABYMETAL,megitsune.ogg,142,,,,ExpertStandard.dat,ExpertPlusStandard.dat
meisterderminne,Meister der Minne,Feuerschwanz,song.ogg,135.0,Easy.dat,,,,
mementomori,Memento Mori,Feuerschwanz,song.ogg,170.0,Easy.dat,,,,
metalbrutejusticemode,Metal - Brute Justice Mode,THE PRIMALS,song.egg,170.00999450683594,,,,,ExpertPlusStandard.dat
metalcrusher,Metal Crusher,Toby Fox,song.ogg,116.0,Easy.dat,,,,
metaldivision,Metal Division,Mystic Prophecy,song.ogg,170,,,,,ExpertPlusStandard.dat
minigametheme,Mini-Game Theme 1,Tim Follin,song.ogg,112.7,Easy.dat,,,,
mirror,Mirror,IDER,song.ogg,82,EasyStandard.dat,,,,
miserybusiness,Misery Business,Paramore,misery.ogg,173,,,,ExpertStandard.dat,ExpertPlusStandard.dat
missionarysdownfall,Missionary's Downfall,The Planet Smashers,song.ogg,168.0,Easy.dat,,,,
mobscene,mOBSCENE,Marilyn Manson,mobscene.ogg,130.0500030517578,,,,,ExpertPlusStandard.dat
monochromedreams,Monochrome Dreams,Yoko Shimomura,song.ogg,88.0,Easy.dat,,,,
monster,Monster,Skillet,monster.ogg,135,,,,ExpertStandard.dat,
morrigansfury,Morrigan's fury,Fenrir,song.ogg,155.0,Easy.dat,,,,
motherearth,Mother Earth,Within Temptation,song.ogg,140,,NormalStandard.dat,,ExpertStandard.dat,
movepiece,Move Piece,Tim Follin,song.ogg,99.0,Easy.dat,,,,
mrcrowley,Mr. Crowley,Ozzy Osbourne,song.ogg,85.5,Easy.dat,,,,
murmaider,Murmaider,Deathklok,song.ogg,114.0,Easy.dat,,,,
muzikasefaremix,Muzika (Sefa Remix),Dr. Peacock,muzika.ogg,200,,,,ExpertStandard.dat,ExpertPlusStandard.dat
