song_id,song_name,song_author,song_file,bpm,Easy,Normal,Hard,Expert,ExpertPlus
forwhomthebelltollscover,For Whom The Bell Tolls (Cover),Sabaton,for whom the bell tolls.ogg,116.0,Easy.dat,Normal.dat,,,
freepartyanimal,FreePartyAnimal,Radium,song.ogg,120.0,Easy.dat,,,,
friezasongbowdown, FRIEZA SONG - Bow Down,Divide Music,song.ogg,104.0,Easy.dat,,,,
frogbass,Frogbass,Snails,song.ogg,90.0,Easy.dat,Normal.dat,,,
fromundercovercaughtupinalovesong,From Under Cover (Caught Up In A Love Song),Foreground Eclipse,song.ogg,200.0,Easy.dat,Normal.dat,Hard.dat,,
frozenheart,Frozen Heart,Kristen-Anderson Lopez and Robert Lopez,song.ogg,120.0,Easy.dat,,,,
fuel,Fuel,Metallica,song.ogg,213.0,Easy.dat,Normal.dat,Hard.dat,,
gameofthronescover,Game of Thrones (Cover),Srod Almenara,song.ogg,170.0,Easy.dat,,,,
gatesofekrund,Gates of Ekrund,Wind Rose,song.ogg,120.0,Easy.dat,,,,
gaybar,Gay Bar,Electric Six,song.ogg,172.00059626873374,,,Hard.dat,Expert.dat,
genocidalhumanoidz,Genocidal Humanoidz,System Of A Down,genocidal.ogg,206.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
gerudovalley,Gerudo Valley,Machinae Supremacy,gerudo.ogg,120.0,Easy.dat,Normal.dat,,,
gerudovalleytheme,Gerudo Valley Theme,Zelda's Ocarina of time,song.ogg,120.0,Easy.dat,,,,
getexited,Get Exited,Hiroaki Tsutsumi,song.ogg,120.0,,,Hard.dat,Expert.dat,ExpertPlus.dat
getjinxed,Get Jinxed,League of Legends,song.ogg,90.0,Easy.dat,,,,
ghostbusters,Ghostbusters,Ray Parker Jr,song.ogg,115.5,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
ghostdivision,Ghost Division,Sabaton,song.ogg,176.0,Easy.dat,,,,
ghostofmarley,Ghost Of Marley,Majestica,song.ogg,140.0,Easy.dat,Normal.dat,Hard.dat,,
ghostwriter,Ghostwriter,RJD2,song.ogg,94.0,Easy.dat,,,,
giveitup,Give It Up,Knife Party,giveitup.ogg,87.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
gloryhammer,Gloryhammer,Gloryhammer,song.ogg,136.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
gloryofchristmas,Glory Of Christmas,Majestica,glory.ogg,105.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
glpembe,Gülpembe,Barış Manço,gulpembe.ogg,78.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
go,Go!,FLOW,song.ogg,134.0,,,HardStandard.dat,ExpertStandard.dat,
goat,G.O.A.T.,Polyphia,song.ogg,107.0,Easy.dat,Normal.dat,Hard.dat,,
gokusongpower,GOKU SONG - Power,Divide Music,song.ogg,190.0,Easy.dat,,,,
goodnightfairlady,"Goodnight, Fair Lady",Coheed and Cambria,song.ogg,143.0,Easy.dat,,,,
goose,Goose,Polyphia,goose.ogg,110.0,,,,ExpertStandard.dat,
gr,Grá,Wardruna,song.ogg,74.0,Easy.dat,,,,
gravityproof,Gravity Proof,Hearts & Hands,song.ogg,160.0,Easy.dat,,,,
greatwar,Great War,Sabaton,GreatWar.ogg,103.0,,,HardStandard.dat,,
grotti,Grotti,SKÁLD,grótti.ogg,180.0,Easy.dat,,,,
groundthemesupermariobros,Ground Theme (Super Mario Bros. 2,Koji Kondo,song.ogg,99.72,Easy.dat,,,,
grtti,Grótti,SKÁLD,song.ogg,90.0,Easy.dat,,,,
guardiansofasgaard,Guardians of Asgaard,Amon Amarth,asgaard.ogg,135.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
gunman,Gunman,Orden Ogan,song.ogg,175.0,Easy.dat,Normal.dat,,,
guns,Guns,Kawai Sprite,song.ogg,92.5,Easy.dat,,,,
guy,2019 Guy,The Gentle Men,song.ogg,81.0,Easy.dat,,,,
